# timestamp(s) x y z q_x q_y q_z q_w
0.1575 24.9747 6.2561 6.44669 -0.0262509 0.0979357 0.994598 -0.0226458
0.16 24.9739 6.27571 6.46734 -0.0266566 0.0978756 0.994585 -0.0230008
0.1625 24.9731 6.29532 6.4879 -0.0270621 0.0978146 0.994572 -0.0233558
0.165 24.9723 6.31493 6.50836 -0.0274673 0.0977527 0.994559 -0.0237108
0.1675 24.9714 6.33453 6.52874 -0.0278724 0.0976899 0.994545 -0.0240659
0.17 24.9706 6.35414 6.54902 -0.0282773 0.0976262 0.994532 -0.0244211
0.1725 24.9697 6.37374 6.5692 -0.0286819 0.0975615 0.994518 -0.0247763
0.175 24.9689 6.39335 6.58929 -0.0290863 0.0974959 0.994504 -0.0251316
0.1775 24.968 6.41295 6.60928 -0.0294905 0.0974294 0.99449 -0.0254869
0.18 24.9671 6.43256 6.62918 -0.0298944 0.0973619 0.994475 -0.0258423
0.1825 24.9662 6.45216 6.64897 -0.0302981 0.0972936 0.99446 -0.0261977
0.185 24.9653 6.47176 6.66866 -0.0307016 0.0972243 0.994446 -0.0265532
0.1875 24.9643 6.49136 6.68825 -0.0311049 0.0971541 0.99443 -0.0269087
0.19 24.9634 6.51096 6.70774 -0.0315079 0.097083 0.994415 -0.0272643
0.1925 24.9624 6.53056 6.72712 -0.0319106 0.097011 0.9944 -0.02762
0.195 24.9615 6.55015 6.7464 -0.0323131 0.096938 0.994384 -0.0279758
0.1975 24.9605 6.56975 6.76557 -0.0327154 0.0968641 0.994368 -0.0283315
0.2 24.9595 6.58935 6.78463 -0.0331174 0.0967893 0.994352 -0.0286874
0.2025 24.9585 6.60894 6.80358 -0.0335191 0.0967136 0.994336 -0.0290433
0.205 24.9575 6.62853 6.82242 -0.0339206 0.096637 0.994319 -0.0293993
0.2075 24.9564 6.64813 6.84115 -0.0343218 0.0965595 0.994303 -0.0297554
0.21 24.9554 6.66772 6.85977 -0.0347227 0.0964811 0.994286 -0.0301115
0.2125 24.9543 6.68731 6.87827 -0.0351234 0.0964017 0.994269 -0.0304677
0.215 24.9533 6.7069 6.89666 -0.0355238 0.0963214 0.994251 -0.0308239
0.2175 24.9522 6.72649 6.91493 -0.0359239 0.0962402 0.994234 -0.0311802
0.22 24.9511 6.74607 6.93308 -0.0363237 0.0961582 0.994216 -0.0315366
0.2225 24.95 6.76566 6.95112 -0.0367233 0.0960752 0.994198 -0.0318931
0.225 24.9489 6.78525 6.96904 -0.0371225 0.0959913 0.99418 -0.0322496
0.2275 24.9478 6.80483 6.98683 -0.0375215 0.0959064 0.994162 -0.0326062
0.23 24.9466 6.82441 7.0045 -0.0379202 0.0958207 0.994143 -0.0329628
0.2325 24.9455 6.84399 7.02205 -0.0383186 0.0957341 0.994125 -0.0333196
0.235 24.9443 6.86357 7.03948 -0.0387167 0.0956465 0.994106 -0.0336764
0.2375 24.9431 6.88315 7.05678 -0.0391144 0.0955581 0.994087 -0.0340333
0.24 24.9419 6.90273 7.07396 -0.0395119 0.0954688 0.994068 -0.0343902
0.2425 24.9407 6.92231 7.09101 -0.0399091 0.0953785 0.994048 -0.0347472
0.245 24.9395 6.94189 7.10792 -0.0403059 0.0952874 0.994028 -0.0351043
0.2475 24.9383 6.96146 7.12471 -0.0407025 0.0951953 0.994009 -0.0354615
0.25 24.9371 6.98103 7.14137 -0.0410987 0.0951024 0.993989 -0.0358188
0.2525 24.9358 7.00061 7.1579 -0.0414946 0.0950085 0.993968 -0.0361761
0.255 24.9345 7.02018 7.1743 -0.0418902 0.0949138 0.993948 -0.0365335
0.2575 24.9333 7.03975 7.19056 -0.0422854 0.0948181 0.993927 -0.036891
0.26 24.932 7.05932 7.20669 -0.0426803 0.0947216 0.993906 -0.0372486
0.2625 24.9307 7.07888 7.22268 -0.0430749 0.0946241 0.993885 -0.0376063
0.265 24.9294 7.09845 7.23854 -0.0434692 0.0945258 0.993864 -0.037964
0.2675 24.928 7.11801 7.25426 -0.0438631 0.0944266 0.993842 -0.0383218
0.27 24.9267 7.13758 7.26984 -0.0442566 0.0943265 0.993821 -0.0386797
0.2725 24.9254 7.15714 7.28528 -0.0446498 0.0942255 0.993799 -0.0390377
0.275 24.924 7.1767 7.30058 -0.0450427 0.0941235 0.993777 -0.0393957
0.2775 24.9226 7.19626 7.31574 -0.0454352 0.0940208 0.993755 -0.0397539
0.28 24.9212 7.21582 7.33076 -0.0458274 0.0939171 0.993732 -0.0401121
0.2825 24.9198 7.23538 7.34564 -0.0462192 0.0938125 0.99371 -0.0404704
0.285 24.9184 7.25493 7.36037 -0.0466106 0.093707 0.993687 -0.0408289
0.2875 24.917 7.27448 7.37495 -0.0470017 0.0936007 0.993664 -0.0411873
0.29 24.9156 7.29404 7.38939 -0.0473924 0.0934935 0.99364 -0.0415459
0.2925 24.9141 7.31359 7.40369 -0.0477827 0.0933853 0.993617 -0.0419046
0.295 24.9127 7.33314 7.41783 -0.0481727 0.0932763 0.993593 -0.0422634
0.2975 24.9112 7.35269 7.43183 -0.0485623 0.0931665 0.99357 -0.0426222
0.3 24.9097 7.37223 7.44568 -0.0489515 0.0930557 0.993545 -0.0429811
0.3025 24.9082 7.39178 7.45938 -0.0493403 0.0929441 0.993521 -0.0433402
0.305 24.9067 7.41132 7.47292 -0.0497287 0.0928315 0.993497 -0.0436993
0.3075 24.9052 7.43087 7.48632 -0.0501168 0.0927181 0.993472 -0.0440585
0.31 24.9037 7.45041 7.49956 -0.0505044 0.0926039 0.993447 -0.0444178
0.3125 24.9021 7.46995 7.51265 -0.0508917 0.0924887 0.993422 -0.0447772
0.315 24.9006 7.48948 7.52559 -0.0512785 0.0923727 0.993397 -0.0451367
0.3175 24.899 7.50902 7.53837 -0.051665 0.0922558 0.993372 -0.0454963
0.32 24.8974 7.52856 7.55099 -0.0520511 0.092138 0.993346 -0.045856
0.3225 24.8958 7.54809 7.56346 -0.0524367 0.0920194 0.99332 -0.0462158
0.325 24.8942 7.56762 7.57577 -0.0528219 0.0918998 0.993294 -0.0465756
0.3275 24.8926 7.58715 7.58792 -0.0532068 0.0917794 0.993268 -0.0469356
0.33 24.891 7.60668 7.59991 -0.0535912 0.0916582 0.993242 -0.0472957
0.3325 24.8893 7.62621 7.61175 -0.0539752 0.0915361 0.993215 -0.0476559
0.335 24.8877 7.64573 7.62342 -0.0543587 0.0914131 0.993188 -0.0480161
0.3375 24.886 7.66526 7.63493 -0.0547419 0.0912892 0.993161 -0.0483765
0.34 24.8843 7.68478 7.64628 -0.0551246 0.0911645 0.993134 -0.048737
0.3425 24.8826 7.7043 7.65747 -0.0555069 0.0910389 0.993107 -0.0490976
0.345 24.8809 7.72382 7.66849 -0.0558887 0.0909125 0.993079 -0.0494582
0.3475 24.8792 7.74334 7.67935 -0.0562701 0.0907852 0.993051 -0.049819
0.35 24.8775 7.76285 7.69005 -0.0566511 0.090657 0.993023 -0.0501799
0.3525 24.8758 7.78237 7.70058 -0.0570316 0.090528 0.992995 -0.0505409
0.355 24.874 7.80188 7.71094 -0.0574117 0.0903982 0.992967 -0.050902
0.3575 24.8722 7.82139 7.72114 -0.0577913 0.0902674 0.992938 -0.0512632
0.36 24.8705 7.8409 7.73117 -0.0581705 0.0901358 0.992909 -0.0516245
0.3625 24.8687 7.8604 7.74103 -0.0585492 0.0900034 0.992881 -0.0519859
0.365 24.8669 7.87991 7.75073 -0.0589274 0.0898701 0.992851 -0.0523474
0.3675 24.8651 7.89941 7.76025 -0.0593052 0.089736 0.992822 -0.052709
0.37 24.8632 7.91891 7.76961 -0.0596826 0.089601 0.992793 -0.0530707
